benchmark
370 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
371 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
372 {'product': [0, 9, 33], 'productlist': [0, 1, 1]}
373 {'product': [100, 100, 100], 'productlist': [1, 1, 1]}
374 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
375 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
376 {'product': [25, 25, 25], 'productlist': [1, 1, 1]}
377 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
378 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
379 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
380 {'product': [0, 4, 33], 'productlist': [0, 1, 1]}
381 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
382 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
383 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
384 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
385 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
386 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
387 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
388 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
389 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
390 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
391 {'product': [14, 14, 14], 'productlist': [1, 1, 1]}
392 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
393 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
394 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
395 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
396 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
397 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
398 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
399 {'product': [35, 35, 35], 'productlist': [1, 1, 1]}
400 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
401 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
402 {'product': [0, 7, 32], 'productlist': [0, 1, 1]}
403 {'product': [0, 7, 33], 'productlist': [0, 1, 1]}
404 {'product': [52, 52, 52], 'productlist': [1, 1, 1]}
405 {'product': [0, 21, 32], 'productlist': [0, 1, 1]}
