@relation out

@attribute 'fdc ' numeric
@attribute ' td_tr ' numeric
@attribute ' fdcl ' numeric
@attribute ' tr ' numeric
@attribute ' fr ' numeric
@attribute ' fc ' numeric
@attribute ' ftl ' numeric
@attribute ' fdr ' numeric
@attribute ' td ' numeric
@attribute ' fcl ' numeric
@attribute ' fclc ' numeric
@attribute ' class' {' table',' other'}

@data
0,0,0.707107,0,2,1,2.714286,1.414214,0,0.5,0.5,' other'
0,1,0.948683,10,10,1,2.44,28.460499,10,4.5,4.5,' other'
0,1,0.707107,2,2,1,2.6,1.414214,2,0.5,0.5,' other'
0,1,0.953463,10,11,1,2.212121,33.166248,10,5,5,' other'
0,3,0.408248,3,3,4,2.967742,0.866025,9,0.25,0.25,' table'
0.426401,1,0.953463,4,5.5,1,3.009091,10.600708,4,5,5,' other'
0,1,0.989529,40,48,1,2.406114,325.625552,40,23.5,23.5,' other'
1.374369,2.416667,0.586302,12,8,2.666667,2.403226,9.539392,29,2.0625,2.0625,' other'
1.5,2.1,0.447214,10,7.5,4.5,3.057471,4.330127,21,1,1,' table'
0,5.857143,0.393398,14,14,6,2.257143,12.220202,82,1.083333,1.083333,' table'
0,5.857143,0.393398,14,14,6,2.257143,12.220202,82,1.083333,1.083333,' table'
0,5.857143,0.393398,14,14,6,2.257143,12.220202,82,1.083333,1.083333,' table'
0,5.857143,0.393398,14,14,6,2.257143,12.220202,82,1.083333,1.083333,' table'
1.428286,2.777778,0.588348,9,6.5,2.6,2.568421,6.566963,25,1.730769,1.730769,' other'
1.885618,3,0.476731,6,4.4,3.666667,2.530303,2.216303,18,0.681818,0.681818,' table'
1.414214,2.666667,0.471405,3,2.25,3,2.642857,1.386317,8,0.333333,0.333333,' table'
1.984313,6.25,0.374166,8,7.142857,6.25,2.76,2.326173,50,0.56,0.56,' table'
0,1,0.866025,2,4,1,1.954545,6,2,1.5,1.5,' other'
0.4,1,0.816497,1,3,1.2,2.423077,2.915476,1,1.666667,1.666667,' other'
0,1,0.866025,1,4,1,2.341463,6,1,1.5,1.5,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.714286,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.717391,4.743416,5,1,1,' other'
0,1,0.612372,4,4,2,2.72973,2.828427,4,0.75,0.75,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.704918,4.743416,5,1,1,' other'
0,1,0.632456,5,5,2,2.711538,4.743416,5,1,1,' other'
